postcode_sector,year,avg_price,median_price,n_sales,easting,northing,LSOA_2021_Code,Female_Total,Male_Total,Pop_Total_FM
BS1 1,2015,328850.0,128000.0,27,358827.84126984124,172961.9841269841,E01014654,1263.0,1335.0,2598.0
BS1 1,2016,456997.9166666667,132750.0,24,358827.84126984124,172961.9841269841,E01014654,1265.0,1314.0,2579.0
BS1 1,2017,497797.0,168550.0,13,358827.84126984124,172961.9841269841,E01014654,1245.0,1283.0,2528.0
BS1 1,2018,329912.34567901236,187000.0,81,358827.84126984124,172961.9841269841,E01014654,1233.0,1296.0,2529.0
BS1 1,2019,1652298.6785714286,207500.0,28,358827.84126984124,172961.9841269841,E01014654,1222.0,1304.0,2526.0
BS1 1,2020,688020.5,257500.0,14,358827.84126984124,172961.9841269841,E01014654,1238.0,1299.0,2537.0
BS1 1,2021,238250.0,182500.0,16,358827.84126984124,172961.9841269841,E01014654,1211.0,1295.0,2506.0
BS1 1,2022,330750.0,166750.0,6,358827.84126984124,172961.9841269841,E01014654,1219.0,1371.0,2590.0
BS1 1,2022,330750.0,166750.0,6,358827.84126984124,172961.9841269841,E01014654,1233.0,1366.0,2599.0
BS1 1,2023,934857.1428571428,227000.0,7,358827.84126984124,172961.9841269841,E01014654,1262.0,1417.0,2679.0
BS1 1,2024,315900.0,240000.0,5,358827.84126984124,172961.9841269841,E01014654,1255.0,1459.0,2714.0
BS1 2,2015,4634815.166666667,2457945.5,6,358846.67647058825,173215.88235294117,E01033342,731.0,963.0,1694.0
BS1 2,2016,1264091.2903225806,330000.0,31,358846.67647058825,173215.88235294117,E01033342,717.0,903.0,1620.0
BS1 2,2017,487071.6382978723,276000.0,141,358846.67647058825,173215.88235294117,E01033342,710.0,893.0,1603.0
BS1 2,2018,1403329.3103448276,250000.0,29,358846.67647058825,173215.88235294117,E01033342,697.0,838.0,1535.0
BS1 2,2019,1516439.8095238095,251000.0,21,358846.67647058825,173215.88235294117,E01033342,767.0,843.0,1610.0
BS1 2,2020,2751666.6666666665,345000.0,15,358846.67647058825,173215.88235294117,E01033342,922.0,882.0,1804.0
BS1 2,2021,1112175.0,368000.0,20,358846.67647058825,173215.88235294117,E01033342,947.0,974.0,1921.0
BS1 2,2022,623875.0,272500.0,8,358846.67647058825,173215.88235294117,E01033342,1065.0,1155.0,2220.0
BS1 2,2022,623875.0,272500.0,8,358846.67647058825,173215.88235294117,E01033342,1090.0,1163.0,2253.0
BS1 2,2023,251111.11111111112,255000.0,9,358846.67647058825,173215.88235294117,E01033342,1091.0,1137.0,2228.0
BS1 2,2024,448625.4285714286,310000.0,7,358846.67647058825,173215.88235294117,E01033342,1115.0,1139.0,2254.0
BS1 3,2015,559917.4594594594,232500.0,37,359164.5294117647,173519.89915966385,E01014489,1240.0,1364.0,2604.0
BS1 3,2016,1148570.8648648649,231000.0,37,359164.5294117647,173519.89915966385,E01014489,1270.0,1370.0,2640.0
BS1 3,2017,872327.2142857143,270000.0,28,359164.5294117647,173519.89915966385,E01014489,1248.0,1360.0,2608.0
BS1 3,2018,566989.25,265000.0,28,359164.5294117647,173519.89915966385,E01014489,1293.0,1351.0,2644.0
BS1 3,2019,671312.5,226250.0,24,359164.5294117647,173519.89915966385,E01014489,1279.0,1372.0,2651.0
BS1 3,2020,663822.9166666666,259250.0,24,359164.5294117647,173519.89915966385,E01014489,1299.0,1354.0,2653.0
BS1 3,2021,1200454.6666666667,273000.0,15,359164.5294117647,173519.89915966385,E01014489,1264.0,1282.0,2546.0
BS1 3,2022,246472.22222222222,250000.0,18,359164.5294117647,173519.89915966385,E01014489,1276.0,1274.0,2550.0
BS1 3,2022,246472.22222222222,250000.0,18,359164.5294117647,173519.89915966385,E01014489,1278.0,1273.0,2551.0
BS1 3,2023,2265766.6666666665,240000.0,15,359164.5294117647,173519.89915966385,E01014489,1334.0,1274.0,2608.0
BS1 3,2024,240100.0,225000.0,5,359164.5294117647,173519.89915966385,E01014489,1366.0,1320.0,2686.0
BS1 4,2015,839783.7,273000.0,70,358711.1836734694,172685.3469387755,E01033353,589.0,749.0,1338.0
BS1 4,2016,391729.17821782175,285000.0,101,358711.1836734694,172685.3469387755,E01033353,583.0,789.0,1372.0
BS1 4,2017,1424924.28,352500.0,50,358711.1836734694,172685.3469387755,E01033353,599.0,781.0,1380.0
BS1 4,2018,448926.0882352941,277000.0,34,358711.1836734694,172685.3469387755,E01033353,700.0,905.0,1605.0
BS1 4,2019,1299038.9210526317,277500.0,38,358711.1836734694,172685.3469387755,E01033353,737.0,938.0,1675.0
BS1 4,2020,3173000.0,670000.0,15,358711.1836734694,172685.3469387755,E01033353,884.0,995.0,1879.0
BS1 4,2021,1886630.4347826086,320500.0,23,358711.1836734694,172685.3469387755,E01033353,858.0,1084.0,1942.0
BS1 4,2022,325937.5,300000.0,8,358711.1836734694,172685.3469387755,E01033353,1037.0,1242.0,2279.0
BS1 4,2022,325937.5,300000.0,8,358711.1836734694,172685.3469387755,E01033353,1058.0,1232.0,2290.0
BS1 4,2023,292500.0,230000.0,6,358711.1836734694,172685.3469387755,E01033353,1133.0,1336.0,2469.0
BS1 4,2024,356095.14285714284,240000.0,7,358711.1836734694,172685.3469387755,E01033353,1358.0,1498.0,2856.0
BS1 5,2015,590591.3627450981,244325.0,102,358269.20261437906,172825.01307189543,E01033344,619.0,724.0,1343.0
BS1 5,2016,399105.099009901,303000.0,101,358269.20261437906,172825.01307189543,E01033344,680.0,688.0,1368.0
BS1 5,2017,710657.793814433,293000.0,97,358269.20261437906,172825.01307189543,E01033344,734.0,740.0,1474.0
BS1 5,2018,447788.89130434784,302500.0,92,358269.20261437906,172825.01307189543,E01033344,742.0,711.0,1453.0
BS1 5,2019,661684.5820895522,342000.0,134,358269.20261437906,172825.01307189543,E01033344,786.0,791.0,1577.0
BS1 5,2020,1059565.8333333333,338750.0,60,358269.20261437906,172825.01307189543,E01033344,899.0,817.0,1716.0
BS1 5,2021,832165.9130434783,319100.0,46,358269.20261437906,172825.01307189543,E01033344,901.0,910.0,1811.0
BS1 5,2022,394312.5,363500.0,8,358269.20261437906,172825.01307189543,E01033344,1030.0,1057.0,2087.0
BS1 5,2022,394312.5,363500.0,8,358269.20261437906,172825.01307189543,E01033344,1047.0,1058.0,2105.0
BS1 5,2023,764300.5925925926,375000.0,27,358269.20261437906,172825.01307189543,E01033344,990.0,1062.0,2052.0
BS1 5,2024,423779.2121212121,385000.0,33,358269.20261437906,172825.01307189543,E01033344,1006.0,1085.0,2091.0
BS1 6,2015,377060.3702422145,259950.0,289,358836.7510204082,172413.63673469386,E01014699,881.0,765.0,1646.0
BS1 6,2016,619607.3793103448,286500.0,203,358836.7510204082,172413.63673469386,E01014699,863.0,755.0,1618.0
BS1 6,2017,629621.9190031153,265000.0,321,358836.7510204082,172413.63673469386,E01014699,888.0,804.0,1692.0
BS1 6,2018,1245162.0316455697,347500.0,158,358836.7510204082,172413.63673469386,E01014699,922.0,815.0,1737.0
BS1 6,2019,1357852.8857142858,380000.0,175,358836.7510204082,172413.63673469386,E01014699,906.0,832.0,1738.0
BS1 6,2020,653484.1647058823,340754.5,170,358836.7510204082,172413.63673469386,E01014699,908.0,800.0,1708.0
BS1 6,2021,946432.4745762711,353000.0,177,358836.7510204082,172413.63673469386,E01014699,855.0,773.0,1628.0
BS1 6,2022,1308325.9714285715,340000.0,35,358836.7510204082,172413.63673469386,E01014699,842.0,764.0,1606.0
BS1 6,2022,1308325.9714285715,340000.0,35,358836.7510204082,172413.63673469386,E01014699,837.0,784.0,1621.0
BS1 6,2023,1409577.4468085107,329000.0,47,358836.7510204082,172413.63673469386,E01014699,819.0,772.0,1591.0
BS1 6,2024,2150433.695652174,330175.0,46,358836.7510204082,172413.63673469386,E01014699,827.0,794.0,1621.0
BS1 8,2019,5000.0,5000.0,1,,,,,,
BS10 5,2015,227776.29752066114,201000.0,121,358671.4146341463,177818.43414634146,E01014631,611.0,620.0,1231.0
BS10 5,2016,254108.77192982455,226000.0,114,358671.4146341463,177818.43414634146,E01014631,608.0,651.0,1259.0
BS10 5,2017,292715.4537037037,256250.0,108,358671.4146341463,177818.43414634146,E01014631,596.0,665.0,1261.0
BS10 5,2018,317674.02040816325,247500.0,98,358671.4146341463,177818.43414634146,E01014631,602.0,662.0,1264.0
BS10 5,2019,433205.71717171714,300000.0,99,358671.4146341463,177818.43414634146,E01014631,576.0,641.0,1217.0
BS10 5,2020,292321.82608695654,265000.0,92,358671.4146341463,177818.43414634146,E01014631,583.0,647.0,1230.0
BS10 5,2021,301399.20634920633,255000.0,63,358671.4146341463,177818.43414634146,E01014631,596.0,633.0,1229.0
BS10 5,2022,343735.29411764705,309000.0,17,358671.4146341463,177818.43414634146,E01014631,599.0,638.0,1237.0
BS10 5,2022,343735.29411764705,309000.0,17,358671.4146341463,177818.43414634146,E01014631,610.0,644.0,1254.0
BS10 5,2023,321916.6666666667,297000.0,30,358671.4146341463,177818.43414634146,E01014631,628.0,664.0,1292.0
BS10 5,2024,358319.59016393445,330000.0,61,358671.4146341463,177818.43414634146,E01014631,647.0,663.0,1310.0
BS10 6,2015,209512.96315789473,190000.0,190,358105.98876404495,178963.4606741573,E01014601,917.0,859.0,1776.0
BS10 6,2016,237411.38121546962,215000.0,181,358105.98876404495,178963.4606741573,E01014601,921.0,904.0,1825.0
BS10 6,2017,254493.19277108434,239000.0,166,358105.98876404495,178963.4606741573,E01014601,954.0,913.0,1867.0
BS10 6,2018,242080.35885167465,235000.0,209,358105.98876404495,178963.4606741573,E01014601,960.0,952.0,1912.0
BS10 6,2019,250876.50920245398,240000.0,163,358105.98876404495,178963.4606741573,E01014601,966.0,966.0,1932.0
BS10 6,2020,244790.8255033557,248000.0,149,358105.98876404495,178963.4606741573,E01014601,961.0,936.0,1897.0
BS10 6,2021,279839.1478873239,262250.0,142,358105.98876404495,178963.4606741573,E01014601,968.0,926.0,1894.0
BS10 6,2022,301347.22222222225,305000.0,36,358105.98876404495,178963.4606741573,E01014601,953.0,919.0,1872.0
BS10 6,2022,301347.22222222225,305000.0,36,358105.98876404495,178963.4606741573,E01014601,957.0,919.0,1876.0
BS10 6,2023,333246.5753424658,315000.0,73,358105.98876404495,178963.4606741573,E01014601,965.0,968.0,1933.0
BS10 6,2024,329201.51948051946,320000.0,77,358105.98876404495,178963.4606741573,E01014601,1006.0,1017.0,2023.0
BS10 7,2015,210361.97916666666,175000.0,144,356659.5100671141,179539.04362416107,E01014498,847.0,812.0,1659.0
BS10 7,2016,240131.30952380953,210000.0,126,356659.5100671141,179539.04362416107,E01014498,854.0,790.0,1644.0
BS10 7,2017,310998.1617647059,210750.0,136,356659.5100671141,179539.04362416107,E01014498,875.0,794.0,1669.0
BS10 7,2018,503222.2153846154,237250.0,130,356659.5100671141,179539.04362416107,E01014498,867.0,792.0,1659.0
BS10 7,2019,375140.1538461539,225000.0,130,356659.5100671141,179539.04362416107,E01014498,867.0,779.0,1646.0
BS10 7,2020,708490.7065217391,228750.0,92,356659.5100671141,179539.04362416107,E01014498,868.0,789.0,1657.0
BS10 7,2021,380497.7826086957,290000.0,138,356659.5100671141,179539.04362416107,E01014498,864.0,773.0,1637.0
BS10 7,2022,421119.0416666667,349000.0,24,356659.5100671141,179539.04362416107,E01014498,858.0,756.0,1614.0
BS10 7,2022,421119.0416666667,349000.0,24,356659.5100671141,179539.04362416107,E01014498,870.0,769.0,1639.0
BS10 7,2023,458458.6666666667,335000.0,75,356659.5100671141,179539.04362416107,E01014498,875.0,757.0,1632.0
BS10 7,2024,437748.176,375000.0,125,356659.5100671141,179539.04362416107,E01014498,939.0,805.0,1744.0
BS11 0,2015,223606.90510948905,174500.0,137,354029.21649484534,178048.9209621993,E01014492,879.0,752.0,1631.0
BS11 0,2016,194623.76,183000.0,125,354029.21649484534,178048.9209621993,E01014492,865.0,755.0,1620.0
BS11 0,2017,233594.27272727274,199975.0,132,354029.21649484534,178048.9209621993,E01014492,855.0,776.0,1631.0
BS11 0,2018,231383.34677419355,202000.0,124,354029.21649484534,178048.9209621993,E01014492,868.0,815.0,1683.0
BS11 0,2019,227612.37704918033,210000.0,122,354029.21649484534,178048.9209621993,E01014492,869.0,807.0,1676.0
BS11 0,2020,294527.9130434783,206000.0,115,354029.21649484534,178048.9209621993,E01014492,881.0,803.0,1684.0
BS11 0,2021,299547.3965517241,232000.0,116,354029.21649484534,178048.9209621993,E01014492,852.0,804.0,1656.0
BS11 0,2022,275974.625,262500.0,40,354029.21649484534,178048.9209621993,E01014492,845.0,825.0,1670.0
BS11 0,2022,275974.625,262500.0,40,354029.21649484534,178048.9209621993,E01014492,873.0,813.0,1686.0
BS11 0,2023,348111.20967741933,280000.0,62,354029.21649484534,178048.9209621993,E01014492,869.0,828.0,1697.0
BS11 0,2024,1015609.7540983607,280000.0,61,354029.21649484534,178048.9209621993,E01014492,903.0,832.0,1735.0
BS11 8,2015,1694296.25,1596592.5,4,352681.24,179107.32,E01014496,814.0,945.0,1759.0
BS11 8,2016,6064198.666666667,5601570.0,3,352681.24,179107.32,E01014496,845.0,949.0,1794.0
BS11 8,2017,1525000.0,1707500.0,6,352681.24,179107.32,E01014496,831.0,950.0,1781.0
BS11 8,2018,2133408.6,2585000.0,5,352681.24,179107.32,E01014496,849.0,965.0,1814.0
BS11 8,2019,3800000.0,3800000.0,1,352681.24,179107.32,E01014496,888.0,1024.0,1912.0
BS11 8,2020,85000.0,85000.0,1,352681.24,179107.32,E01014496,893.0,1036.0,1929.0
BS11 8,2021,50177233.5,14676816.5,4,352681.24,179107.32,E01014496,906.0,1059.0,1965.0
BS11 9,2015,349300.44680851063,182000.0,141,352468.29411764705,177456.2431372549,E01014492,879.0,752.0,1631.0
BS11 9,2016,219816.67096774193,205000.0,155,352468.29411764705,177456.2431372549,E01014492,865.0,755.0,1620.0
BS11 9,2017,248962.57462686568,211250.0,134,352468.29411764705,177456.2431372549,E01014492,855.0,776.0,1631.0
BS11 9,2018,296030.88607594935,220000.0,158,352468.29411764705,177456.2431372549,E01014492,868.0,815.0,1683.0
BS11 9,2019,254402.47674418605,225000.0,172,352468.29411764705,177456.2431372549,E01014492,869.0,807.0,1676.0
BS11 9,2020,387157.01754385966,245000.0,114,352468.29411764705,177456.2431372549,E01014492,881.0,803.0,1684.0
BS11 9,2021,263664.7322834646,255000.0,127,352468.29411764705,177456.2431372549,E01014492,852.0,804.0,1656.0
BS11 9,2022,595388.8888888889,331000.0,18,352468.29411764705,177456.2431372549,E01014492,845.0,825.0,1670.0
BS11 9,2022,595388.8888888889,331000.0,18,352468.29411764705,177456.2431372549,E01014492,873.0,813.0,1686.0
BS11 9,2023,327323.5294117647,275000.0,51,352468.29411764705,177456.2431372549,E01014492,869.0,828.0,1697.0
BS11 9,2024,306379.48214285716,300000.0,56,352468.29411764705,177456.2431372549,E01014492,903.0,832.0,1735.0
BS12 2,2016,375000.0,375000.0,1,,,E01014863,,,
BS13 0,2015,139212.25,145000.0,60,358599.18483412324,167598.57345971564,E01014593,842.0,682.0,1524.0
BS13 0,2016,161986.73913043478,168500.0,46,358599.18483412324,167598.57345971564,E01014593,857.0,715.0,1572.0
BS13 0,2017,169671.32653061225,175000.0,49,358599.18483412324,167598.57345971564,E01014593,840.0,714.0,1554.0
BS13 0,2018,183364.046875,180000.0,64,358599.18483412324,167598.57345971564,E01014593,827.0,702.0,1529.0
BS13 0,2019,175545.07272727272,181000.0,55,358599.18483412324,167598.57345971564,E01014593,836.0,723.0,1559.0
BS13 0,2020,196396.02564102566,200000.0,39,358599.18483412324,167598.57345971564,E01014593,857.0,712.0,1569.0
BS13 0,2021,217017.8208955224,210000.0,67,358599.18483412324,167598.57345971564,E01014593,837.0,708.0,1545.0
BS13 0,2022,288452.5,297950.0,20,358599.18483412324,167598.57345971564,E01014593,844.0,715.0,1559.0
BS13 0,2022,288452.5,297950.0,20,358599.18483412324,167598.57345971564,E01014593,847.0,715.0,1562.0
BS13 0,2023,259768.9655172414,249900.0,29,358599.18483412324,167598.57345971564,E01014593,875.0,726.0,1601.0
BS13 0,2024,262251.82857142854,250000.0,35,358599.18483412324,167598.57345971564,E01014593,903.0,745.0,1648.0
BS13 7,2015,196975.63953488372,197500.0,172,357451.37313432834,169297.60696517414,E01014500,889.0,853.0,1742.0
BS13 7,2016,207636.4385026738,215000.0,187,357451.37313432834,169297.60696517414,E01014500,885.0,881.0,1766.0
BS13 7,2017,263232.8068181818,230000.0,176,357451.37313432834,169297.60696517414,E01014500,898.0,859.0,1757.0
BS13 7,2018,242042.41206030152,237500.0,199,357451.37313432834,169297.60696517414,E01014500,891.0,859.0,1750.0
BS13 7,2019,230370.90384615384,230000.0,260,357451.37313432834,169297.60696517414,E01014500,919.0,895.0,1814.0
BS13 7,2020,289758.5260115607,260000.0,173,357451.37313432834,169297.60696517414,E01014500,889.0,885.0,1774.0
BS13 7,2021,274824.5341614907,280000.0,161,357451.37313432834,169297.60696517414,E01014500,924.0,922.0,1846.0
BS13 7,2022,311392.85714285716,298750.0,28,357451.37313432834,169297.60696517414,E01014500,944.0,928.0,1872.0
BS13 7,2022,311392.85714285716,298750.0,28,357451.37313432834,169297.60696517414,E01014500,945.0,929.0,1874.0
BS13 7,2023,384694.69696969696,328000.0,66,357451.37313432834,169297.60696517414,E01014500,941.0,910.0,1851.0
BS13 7,2024,348652.82608695654,335000.0,69,357451.37313432834,169297.60696517414,E01014500,925.0,943.0,1868.0
BS13 8,2015,179143.89523809523,170000.0,105,356589.32843137253,168299.6274509804,E01014515,778.0,717.0,1495.0
BS13 8,2016,216956.1403508772,195000.0,114,356589.32843137253,168299.6274509804,E01014515,807.0,727.0,1534.0
BS13 8,2017,226959.46218487396,210000.0,119,356589.32843137253,168299.6274509804,E01014515,787.0,727.0,1514.0
BS13 8,2018,249293.55670103093,210000.0,97,356589.32843137253,168299.6274509804,E01014515,794.0,734.0,1528.0
BS13 8,2019,258351.74814814815,240000.0,135,356589.32843137253,168299.6274509804,E01014515,785.0,734.0,1519.0
BS13 8,2020,239435.64516129033,220000.0,93,356589.32843137253,168299.6274509804,E01014515,787.0,743.0,1530.0
BS13 8,2021,293676.5789473684,288000.0,95,356589.32843137253,168299.6274509804,E01014515,766.0,746.0,1512.0
BS13 8,2022,283775.0,268750.0,20,356589.32843137253,168299.6274509804,E01014515,772.0,746.0,1518.0
BS13 8,2022,283775.0,268750.0,20,356589.32843137253,168299.6274509804,E01014515,770.0,747.0,1517.0
BS13 8,2023,274665.84375,279000.0,32,356589.32843137253,168299.6274509804,E01014515,771.0,723.0,1494.0
BS13 8,2024,284779.4117647059,275000.0,34,356589.32843137253,168299.6274509804,E01014515,776.0,739.0,1515.0
BS13 9,2015,141982.59016393442,146000.0,61,357570.3503184713,167924.55414012738,E01014593,842.0,682.0,1524.0
BS13 9,2016,171931.18181818182,174500.0,66,357570.3503184713,167924.55414012738,E01014593,857.0,715.0,1572.0
BS13 9,2017,184837.38095238095,185000.0,63,357570.3503184713,167924.55414012738,E01014593,840.0,714.0,1554.0
